id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
5RuWpDpM2Hhjr7QBhyD4jL,Yaarukkum Sollaama,Thaman S,All in All Azhagu Raja (Original Motion Picture Soundtrack),2013-10-10,0.6231884057971014,0.6374981065681693,"tollywood, telugu pop, tamil dance, tamil pop, kollywood, kannada pop",https://i.scdn.co/image/ab67616d0000b273b166b11392d006346d5247de
0SeQF0O4k5Fj91qZOspKYe,Mehabooba,Ananya Bhat,Kgf Chapter 2,2022-04-14,0.0,0.4948580217424233,"kannada pop, sandalwood",https://i.scdn.co/image/ab67616d0000b27300a803c67232dcf24265e4f9
0SeQF0O4k5Fj91qZOspKYe,Mehabooba,Ananya Bhat,Kgf Chapter 2,2022-04-14,0.0,0.4948580217424233,"kannada pop, sandalwood",https://i.scdn.co/image/ab67616d0000b27300a803c67232dcf24265e4f9
5OotwkHgMpNYfsCwAOs4jP,Private Party,Anirudh Ravichander,Don (Original Motion Picture Soundtrack),2022-05-12,0.782608695652174,0.5051652820339536,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27356c447fa32d5751f1dadfc8d
6C8JJFoGC4dkVtAHVK3iif,"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,"Two Two Two (From ""Kaathuvaakula Rendu Kaadhal"")",2021-09-18,0.7681159420289855,0.4109504445195344,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273ebac27e5f31f1137728632f7
2vkNA9I029dTwX0y6d59Sc,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",2022-04-20,0.9420289855072463,0.4871234983629097,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273e7bfeb6289d915b6f93bb8de
5WWplXimzIjlJiN2N7T9Q3,"Pathala Pathala (From ""Vikram"")",Anirudh Ravichander,"Pathala Pathala (From ""Vikram"")",2022-05-11,0.8985507246376812,0.4926045465667711,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b27380edc9d1a2b27e0976eb840f
4381FmKZc1uT2zzhBiknH7,"Adheeraa (From ""Cobra"")",A.R. Rahman,"Adheeraa (From ""Cobra"")",2022-04-22,0.8115942028985508,0.6038917306549526,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273c7a2c8a186bdf73d83dd2629
1BlBjCEUiAmKyBMy9Liukz,Summa Surrunu,Armaan Malik,Etharkkum Thunindhavan (Original Motion Picture Soundtrack),2022-02-02,0.5507246376811594,0.5280262866597532,"hindi pop, bollywood, kannada pop, tollywood, telugu pop",https://i.scdn.co/image/ab67616d0000b2738153a9bb595af7bf24c0354e
3huCRjAX12zNPxtX9JqX2X,"Naanga Vera Maari (From ""Valimai"")",Yuvan Shankar Raja,"Naanga Vera Maari (From ""Valimai"")",2021-08-03,0.6521739130434783,0.592719900259837,"tamil pop, kollywood, tamil dance, tamil hip hop",https://i.scdn.co/image/ab67616d0000b273fba5304c0119e72d0b998aea
5JC1RPGBMSiKlA3gniEmCW,"Thozhi (From ""Hey Sinamika"")",Govind Vasantha,"Thozhi (From ""Hey Sinamika"")",2022-01-27,0.7391304347826088,0.6930286752968318,"tamil pop, mollywood, kollywood, malayalam hip hop, malayalam pop",https://i.scdn.co/image/ab67616d0000b273f8ce08ea1c8bb2e4a5bc1df7
