Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Cover URL
1hhLL2eWsnPtYCdDjbiRIU,Thaarame Thaarame,Kadaram Kondan,"Sid Sriram,Ghibran",01-05-2019,228214,64,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:51:20Z,"tollywood,telugu pop,tamil pop,kollywood,devotional",Muzik247,0.594,0.53,0,-6.491,1,0.0343,0.677,0,0.108,0.32,139.878,3,https://i.scdn.co/image/ab67616d0000b273a15a2fdd23b00a1cc68ae777
0QcpmVsHY4b4aI8fn0QJo5,Po Urave,Kaatrin Mozhi,Sid Sriram,26-10-2018,202857,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:51:32Z,"tollywood,telugu pop,tamil pop,kollywood",Lahari Music,0.482,0.635,6,-7.944,1,0.0432,0.642,0.000974,0.0991,0.604,72.403,4,https://i.scdn.co/image/ab67616d0000b273360f9060f636e1dc2a6d36f3
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,Rummy (Original Motion Picture Soundtrack),"D. Imman,VV Prassanna,Vandana Srinivasan",25-10-2013,300373,63,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:05Z,"tamil pop,tamil dance,kollywood,tollywood",Sony Music Entertainment India Pvt. Ltd.,0.694,0.695,4,-5.035,0,0.0276,0.324,0,0.177,0.668,120.057,4,https://i.scdn.co/image/ab67616d0000b273afb3b966469add924abb08c3
7kPQmli34iMaAl1IAJ6PRe,Aasai Aasai (From Dhol),Hariharan and Shankar Mahadevan Hits,"Shankar Mahadevan,Sujatha",27-06-2013,320880,45,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:26Z,"bollywood,marathi pop,bhajan,devotional,desi,tamil dance,hindi pop,tamil pop,sufi,malayalam pop,mollywood,telugu pop,kollywood",Five Star Audio,0.52,0.703,4,-7.323,0,0.0533,0.476,0,0.534,0.647,90.088,4,https://i.scdn.co/image/ab67616d0000b273726baae59080517397b2ead6
7mAmuoXcbyjXz4rTHEOCiG,Kaadhal Vaithu,Deepavali (Original Motion Picture Soundtrack),Vijay Yesudas,05-01-2007,309000,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:37Z,"malayalam pop,mollywood,tamil pop,kollywood",Eros Ayangaran,0.659,0.776,10,-8,0,0.0373,0.0268,0.0674,0.197,0.669,100.247,4,https://i.scdn.co/image/ab67616d0000b2736404b5e2335d78d0a99eb0e7
3PzkxdshpgSkWrEeVqTsDe,Asku Laska,Nanban (Original Motion Picture Soundtrack),"Vijay Prakash,Chinmayi,SUVI",23-12-2011,380995,0,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:40Z,"kannada pop,sandalwood,tollywood,telugu pop,tamil pop,kollywood,marathi pop,bollywood,hindi pop,desi,tamil dance,tamil hip hop",Gemini Audio,0.803,0.795,4,-7.429,0,0.0337,0.143,3.80E-05,0.0706,0.749,99.008,4,https://i.scdn.co/image/ab67616d0000b273105a73df60d84f149d8ddb20
09Z6o1yu596HJAwWZxTz4m,Othaiyadi Pathayila,Kanaa (Original Motion Picture Soundtrack),"Dhibu Ninan Thomas,Anirudh Ravichander",23-08-2018,249671,66,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:56Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop",Sony Music Entertainment India Pvt. Ltd.,0.713,0.615,11,-7.648,0,0.138,0.341,1.55E-06,0.0608,0.807,135.017,3,https://i.scdn.co/image/ab67616d0000b2737653c310bcee929732bd0efa
0aI4SOX8BknvAfOs607FlV,Neethanae,Mersal (Original Motion Picture Soundtrack),"A.R. Rahman,Shreya Ghoshal",20-08-2017,268455,56,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:52:59Z,"tamil pop,kollywood,sufi,bollywood,hindi pop,desi,tamil dance,kannada pop,marathi pop,sandalwood,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.57,0.442,2,-9.656,0,0.043,0.716,0.000788,0.0922,0.53,73.963,4,https://i.scdn.co/image/ab67616d0000b273e9880adf2d476f7ff34824ee
6qRiVOBexkxK4BxSt1j6rn,Anbae Peranbae,NGK (Original Motion Picture Soundtrack),"Sid Sriram,Shreya Ghoshal",30-04-2019,269333,64,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:53:08Z,"tollywood,telugu pop,tamil pop,kollywood,bollywood,hindi pop,kannada pop,desi,marathi pop,sandalwood,bangla pop",Sony Music Entertainment India Pvt. Ltd.,0.685,0.561,0,-4.185,0,0.0298,0.481,0.00181,0.16,0.312,90.023,4,https://i.scdn.co/image/ab67616d0000b273487a5fa38bf29c93f168d56d
6sPW145Y3LSXd4p1LjBOcS,Kanave Kanave,David,Anirudh Ravichander,10-01-2013,284784,68,65mooourl7zq5yopi6a0jjxp1,2021-02-06T16:53:43Z,"tamil pop,kollywood,tamil dance,tollywood,tamil hip hop,telugu pop",T-Series,0.47,0.513,9,-10.076,0,0.0294,0.373,6.50E-06,0.123,0.477,95.015,1,https://i.scdn.co/image/ab67616d0000b2736b484c5fe1128f59f3a6a11f
